id,create_date,modify_date,name,location,lat,lon,num_id,source,station_id,stop_id,type,version,status
XBUS_00000001,2021/5/13 2:03:16,2021/5/13 3:00:50,南山书城地铁站②,南海大道 西侧,22.518371,113.928145,1,XXT,B_YH0353,34435,1,2021/5/13 2:03:16,
XBUS_00000002,2021/5/13 2:03:16,2021/5/13 3:00:50,陈郁故居,前海路 东侧,22.518036,113.91274,2,XXT,B_NS0361,34436,1,2021/5/13 2:03:16,
XBUS_00000003,2021/5/13 2:03:16,2021/5/13 3:00:50,茶光,沙河西路 东侧,22.566532,113.955771,3,XXT,B_XL0363,34437,1,2021/5/13 2:03:16,
XBUS_00000004,2021/5/13 2:03:16,2021/5/13 3:00:50,润恒电子厂,留仙二路 西侧,22.57485,113.925885,4,XXT,E_XA0764,34438,1,2021/5/13 2:03:16,
XBUS_00000005,2021/5/13 2:03:16,2021/5/13 3:00:50,仙湖路地铁站,仙湖路 东侧,22.566276,114.166251,5,XXT,C_LT0154,34439,1,2021/5/13 2:03:16,
XBUS_00000006,2021/5/13 2:03:16,2021/5/13 3:00:50,松岗汽车站,无名路 西侧,22.769536,113.851137,6,XXT,X1E0075,34416,2,2021/5/13 2:03:16,
XBUS_00000007,2021/5/13 2:03:16,2021/5/13 3:00:50,仙湖路地铁站,仙湖路 西侧,22.564415,114.166274,7,XXT,C_LT0153,34440,1,2021/5/13 2:03:16,
XBUS_00000008,2021/5/13 2:03:16,2021/5/13 3:00:50,塘尾地铁接驳站,宝安大道 西侧,22.703191,113.817574,8,XXT,E_FY1197,34441,1,2021/5/13 2:03:16,
XBUS_00000009,2021/5/13 2:03:16,2021/5/13 3:00:50,龙华五幼,上塘路 东侧,22.631913,114.020083,9,XXT,I_MZ0364,34442,1,2021/5/13 2:03:16,
XBUS_00000010,2021/5/13 2:03:16,2021/5/13 3:00:50,龙华五幼,上塘路 西侧,22.631977,114.019962,10,XXT,I_MZ0363,34443,1,2021/5/13 2:03:16,
XBUS_00000011,2021/5/13 2:03:16,2021/5/13 3:00:50,锦光北路,无名路 东侧,22.642979,113.838466,11,XXT,E_HC0050,34444,1,2021/5/13 2:03:16,
XBUS_00000012,2021/5/13 2:03:16,2021/5/13 3:00:50,锦光北路,无名路 西侧,22.642656,113.838722,12,XXT,E_HC0049,34445,1,2021/5/13 2:03:16,
XBUS_00000013,2021/5/13 2:03:16,2021/5/13 3:00:50,兴东地铁站A口,留仙二路 西侧,22.581412,113.919336,13,XXT,E_XA0768,34446,1,2021/5/13 2:03:16,
XBUS_00000014,2021/5/13 2:03:16,2021/5/13 3:00:50,飞扬科技园,隆昌路 北侧,22.573067,113.924183,14,XXT,E_XA0767,34447,1,2021/5/13 2:03:16,
XBUS_00000015,2021/5/13 2:03:16,2021/5/13 3:00:50,莲塘尾二路,莲塘尾三路 北侧,22.563163,114.016896,15,XXT,AXMH0188,34448,1,2021/5/13 2:03:16,
XBUS_00000016,2021/5/13 2:03:16,2021/5/13 3:00:50,莲塘尾二路,莲塘尾三路 南侧,22.563171,114.016866,16,XXT,AXMH0187,34449,1,2021/5/13 2:03:16,
XBUS_00000017,2021/5/13 2:03:16,2021/5/13 3:00:50,莲塘尾小区,莲塘尾一路 东侧,22.563147,114.014344,17,XXT,AXMH0186,34450,1,2021/5/13 2:03:16,
XBUS_00000018,2021/5/13 2:03:16,2021/5/13 3:00:50,安托山九路,安托山九路 东侧,22.55799,114.013518,18,XXT,AXMH0185,34451,1,2021/5/13 2:03:16,
XBUS_00000019,2021/5/13 2:03:16,2021/5/13 3:00:50,壹方城,新湖路 西侧,22.5531,113.888693,19,XXT,E_XA0770,34452,1,2021/5/13 2:03:16,
XBUS_00000020,2021/5/13 2:03:16,2021/5/13 3:00:50,乐群社区,黄屋村路 东侧,22.57517,113.874286,20,XXT,E_XX0892,34453,1,2021/5/13 2:03:16,
XBUS_00000021,2021/5/13 2:03:16,2021/5/13 3:00:50,乐群社区,黄屋村路 西侧,22.575069,113.874205,21,XXT,E_XX0891,34454,1,2021/5/13 2:03:16,
