station	long	lat
赤湾	113.897525	22.479227
蛇口港	113.912331	22.476626
海上世界	113.915111	22.485101
水湾	113.919686	22.488389
东角头	113.931149	22.486325
湾厦	113.938604	22.493353
海月	113.937715	22.500409
登良	113.937602	22.509146
后海	113.942498	22.518422
科苑	113.946195	22.527019
红树湾	113.968432	22.525142
世界之窗	113.974216	22.5369
侨城北	113.989148	22.543992
深康	113.998846	22.546456
安托山	114.006236	22.548785
侨香	114.014378	22.549784
香蜜	114.023851	22.552772
香梅北	114.032716	22.55386
景田	114.043343	22.553419
莲花西	114.050034	22.546668
福田	114.052879	22.540087
市民中心	114.061192	22.541744
岗厦北	114.068982	22.540858
华强北	114.085413	22.544441
燕南	114.092561	22.544541
大剧院	114.107811	22.5418
湖贝	114.125437	22.544287
黄贝岭	114.136332	22.546095
新秀	114.148765	22.547688
莲塘口岸	114.155341	22.553346
仙湖路	114.16623	22.563909
莲塘	114.174291	22.564118
梧桐山南	114.183207	22.55785
沙头角	114.223195	22.554232
海山	114.237711	22.555537
盐田港西	114.246899	22.562536
深外高中	114.244509	22.583784
盐田路	114.25565	22.588959
罗湖	114.118666	22.532083
国贸	114.118909	22.53968
老街	114.116939	22.544232
大剧院	114.107811	22.5418
科学馆	114.095173	22.540618
华强路	114.085133	22.540459
岗厦	114.06819	22.534854
会展中心	114.061101	22.534769
购物公园	114.054581	22.534655
香蜜湖	114.038637	22.538887
车公庙	114.02583	22.536247
竹子林	114.013917	22.533357
侨城东	113.996651	22.532406
华侨城	113.985369	22.533489
世界之窗	113.974216	22.5369
白石洲	113.967048	22.539604
高新园	113.953842	22.540236
深大	113.944173	22.538667
桃园	113.924857	22.532357
大新	113.915072	22.532232
鲤鱼门	113.903079	22.532005
前海湾	113.897933	22.537335
新安	113.894625	22.547468
宝安中心	113.887233	22.554575
宝体	113.880641	22.560741
坪洲	113.870711	22.568908
西乡	113.863048	22.575149
固戍	113.846792	22.601363
后瑞	113.835449	22.628835
机场东	113.822634	22.647001
福保	114.055586	22.507884
益田	114.050987	22.516287
石厦	114.053616	22.523708
购物公园	114.054581	22.534655
福田	114.052879	22.540087
少年宫	114.06017	22.548627
莲花村	114.067829	22.548646
华新	114.086654	22.548981
通新岭	114.096273	22.549126
红岭	114.104584	22.54838
老街	114.116939	22.544232
晒布	114.122664	22.549238
翠竹	114.129883	22.556188
田贝	114.130052	22.56728
水贝	114.124974	22.573988
草埔	114.1165	22.584447
布吉	114.121577	22.601695
木棉湾	114.130293	22.606997
大芬	114.138364	22.614191
丹竹头	114.148054	22.619752
六约	114.180646	22.634322
塘坑	114.192725	22.639179
横岗	114.208994	22.648442
永湖	114.218042	22.658995
荷坳	114.22431	22.673079
大运	114.228163	22.68572
爱联	114.234423	22.697495
吉祥	114.244318	22.709488
龙城广场	114.254592	22.716915
南联	114.265531	22.721967
双龙	114.277422	22.728806
牛湖	114.089254	22.724608
观澜湖	114.076271	22.721616
松元厦	114.064767	22.721153
观澜	114.054771	22.715172
长湖	114.044796	22.710764
茜坑	114.041087	22.697256
竹村	114.040309	22.686728
清湖北	114.040417	22.672087
清湖	114.036538	22.664085
龙华	114.022419	22.651629
龙胜	114.01201	22.644739
上塘	114.012838	22.637056
红山	114.023465	22.621886
深圳北站	114.030298	22.610496
白石龙	114.042431	22.601505
民乐	114.048809	22.594144
上梅林	114.05944	22.570462
莲花北	114.059402	22.560538
少年宫	114.06017	22.548627
市民中心	114.061192	22.541744
会展中心	114.061101	22.534769
福民	114.065915	22.523226
福田口岸	114.067731	22.515176
黄贝岭	114.136332	22.546095
怡景	114.140115	22.555856
太安	114.137119	22.573466
布心	114.138045	22.580986
百鸽笼	114.13038	22.595442
布吉	114.121577	22.601695
长龙	114.113825	22.608053
下水径	114.110662	22.614833
上水径	114.105337	22.622046
杨美	114.079975	22.626777
坂田	114.070852	22.627483
五和	114.060681	22.626833
民治	114.04085	22.617545
深圳北站	114.030298	22.610496
长岭陂	114.010275	22.599395
塘朗	113.999666	22.590097
大学城	113.965307	22.581946
西丽	113.954396	22.580677
留仙洞	113.943543	22.580534
兴东	113.919013	22.581822
洪浪北	113.910585	22.574543
灵芝	113.904158	22.568964
翻身	113.893232	22.55969
宝安中心	113.887233	22.554575
宝华	113.88509	22.549635
临海	113.889323	22.54416
前海湾	113.897933	22.537335
桂湾	113.897944	22.532358
前湾	113.895732	22.522244
前湾公园	113.889552	22.516108
妈湾	113.885929	22.507904
铁路公园	113.889969	22.502908
荔湾	113.893485	22.497821
赤湾	113.897525	22.479227
松岗	113.829631	22.772271
溪头	113.83765	22.774648
松岗公园	113.84831	22.77792
薯田埔	113.867694	22.780928
合水口	113.880928	22.78161
公明广场	113.891407	22.777428
红花山	113.907292	22.777684
楼村	113.923407	22.77591
科学公园	113.934115	22.777469
光明	113.945204	22.7716
光明大街	113.942714	22.761965
凤凰城	113.932831	22.747433
长圳	113.930926	22.726332
上屋	113.938536	22.689097
官田	113.949663	22.683253
阳台山东	113.9916	22.667894
元芬	114.005138	22.656327
上芬	114.016637	22.640394
红山	114.023465	22.621886
深圳北站	114.030298	22.610496
梅林关	114.05319	22.594524
翰岭	114.068894	22.574179
银湖	114.089851	22.568308
八卦岭	114.094649	22.561941
体育中心	114.096104	22.554673
通新岭	114.096273	22.549126
科学馆	114.095173	22.540618
西丽湖	113.965652	22.593564
西丽	113.954396	22.580677
茶光	113.954311	22.574138
珠光	113.960559	22.56827
龙井	113.974687	22.56401
桃源村	113.981962	22.5599
深云	113.993727	22.556537
安托山	114.006236	22.548785
农林	114.018135	22.540411
车公庙	114.02583	22.536247
上沙	114.035504	22.524612
沙尾	114.042579	22.520798
石厦	114.053616	22.523708
皇岗村	114.059823	22.523138
福民	114.065915	22.523226
皇岗口岸	114.073972	22.521799
赤尾	114.083598	22.531374
华强南	114.086825	22.537214
华强北	114.085413	22.544441
华新	114.086654	22.548981
黄木岗	114.08728	22.555843
八卦岭	114.094649	22.561941
红岭北	114.104315	22.56203
笋岗	114.111295	22.563406
洪湖	114.122465	22.566056
田贝	114.130052	22.56728
太安	114.137119	22.573466
前湾	113.895732	22.522244
梦海	113.898806	22.518925
怡海	113.903758	22.514933
荔林	113.913128	22.511903
南油西	113.918402	22.509074
南油	113.925747	22.510197
南山书城	113.92834	22.518589
深大南	113.935675	22.526016
粤海门	113.945531	22.532695
高新南	113.950079	22.532797
红树湾南	113.971433	22.523023
深湾	113.97862	22.523078
深圳湾公园	113.993114	22.521591
下沙	114.024334	22.5289
车公庙	114.02583	22.536247
香梅	114.039683	22.545356
景田	114.043343	22.553419
梅景	114.037934	22.561028
下梅林	114.041768	22.565672
梅村	114.052423	22.568443
上梅林	114.05944	22.570462
孖岭	114.067778	22.568458
银湖	114.089851	22.568308
泥岗	114.097634	22.567804
红岭北	114.104315	22.56203
园岭	114.104497	22.556288
红岭	114.104584	22.54838
红岭南	114.104749	22.539943
鹿丹村	114.108625	22.535708
人民南	114.118154	22.535514
向西村	114.125767	22.539792
文锦	114.130962	22.542259
福田口岸	114.067731	22.515176
福民	114.065915	22.523226
岗厦	114.06819	22.534854
莲花村	114.067829	22.548646
冬瓜岭	114.067592	22.560437
孖岭	114.067778	22.568458
雅宝	114.060303	22.603439
南坑	114.060546	22.610894
光雅园	114.060892	22.616397
五和	114.060681	22.626833
坂田北	114.063369	22.634919
贝尔路	114.066366	22.641719
华为	114.067171	22.650445
岗头	114.071895	22.657067
雪象	114.078808	22.657116
甘坑	114.105826	22.647828
凉帽山	114.118964	22.646323
上李朗	114.127071	22.654048
木古	114.122472	22.670179
华南城	114.12225	22.675974
禾花	114.121064	22.686028
平湖	114.125805	22.69367
双拥街	114.132978	22.69864
福田	114.052879	22.540087
车公庙	114.02583	22.536247
红树湾南	113.971433	22.523023
后海	113.942498	22.518422
南山	113.923596	22.524022
前海湾	113.897933	22.537335
宝安	113.880396	22.55459
碧海湾	113.856093	22.575073
机场	113.813663	22.624026
机场北	113.798179	22.651128
福永	113.806076	22.673562
桥头	113.811001	22.688133
塘尾	113.817878	22.702075
马安山	113.817005	22.716998
沙井	113.824434	22.730849
后亭	113.826874	22.752625
松岗	113.829631	22.772271
碧头	113.819959	22.784486
